190,15.1,48,29,26.5,25.1,89.7,95,17.1,19.3,15.9,12,45.9,28.5,21.7,47.1,23,30.3,25.5,10.7,14.4,30.4,80,46.8,46.8,46.8
130,15.1,54,29,26.5,22.5,77.1,63.5,17.1,20.6,16.3,13.1,38.5,44.4,22.7,52,22.8,28.6,24.6,10.1,12.3,64.5,67.5,41.8,41.8,41.8
91,19.3,52.5,35.8,23.2,21.3,269,53.6,16,23.1,14.8,15,36.4,50,20.3,59,21.6,27.2,24.8,11.5,10.9,44.6,63.5,37.6,37.6,37.6
74.5,18.6,53,32,18.9,21.3,204,55.5,14.3,27.8,14.4,15.9,36.1,37.6,17.8,56,18.1,24,24.3,13,10.1,36.5,56.5,33.6,33.6,33.6
60,20,48,30,17.7,22.5,121,95,13.8,26.4,14,18.7,36.7,35.4,17.6,55,16.5,24.5,24.3,15.3,9.6,30.9,50.5,28.3,28.3,28.3
53,18.6,35.8,29,18.9,21.9,77.1,104,13.3,25,15.1,14.1,36.8,35.2,24.9,53.5,15.5,25.7,24.5,15.1,9.45,27.1,44.2,27.6,27.6,27.6
49,17.2,31,26.4,18.9,19.5,59.4,74.7,13.3,29.2,15.9,12.2,42.5,32.8,62,91,15.3,28.7,21.2,13.7,9.3,24.5,37.8,27.5,27.5,27.5
47.1,17.9,24.8,23.2,21.9,18.9,48.1,61.4,13.3,31.3,17.5,11.8,36.4,29.6,85.5,68,17,34.6,18,13.9,9.5,22.8,34,23.9,23.9,23.9
38.5,17.9,20,24.8,21.9,18.9,38.1,56.4,13.3,28.5,22,11.2,32,25.7,69.5,57,18.3,30.9,16.5,12.1,10.5,20.5,30.1,20.9,20.9,20.9
39.5,17.9,20.8,34.1,41.3,17.7,33.7,55.5,16,29.9,57.5,11.6,28.1,23.8,73.5,51,18,29.7,15.4,10.3,11.4,18.4,27.8,20.4,20.4,20.4
33.6,17.2,18.2,34.4,59.5,16.1,33.7,51.8,18.3,29.9,52.5,12.5,24,19,120,50.5,17.6,34.3,14.8,9.45,11.7,16.8,27.1,19.9,19.9,19.9
31.2,13,18.2,31.5,44.7,15.5,39.9,46.2,30.1,32.8,47.7,14.1,22.6,15.9,116,49.4,17.6,36.8,14.4,8.6,11,15.3,27.9,18.3,18.3,18.3
29,15.1,17.6,31.5,39.6,14,30.4,37.2,30.1,36.8,36,14.6,23.8,14.5,124,45.7,16.3,43.9,12.4,8.15,11,14.4,28.3,20.3,20.3,20.3
25.5,13,17.6,30,34.6,12.2,23.4,29.7,27,60.1,33.1,14.9,41.2,14.7,101,39.3,14.3,49.3,11,7.5,11.4,13.4,25.7,20.4,20.4,20.4
22.2,13,17.6,28.5,31.5,11.8,24,26.8,25.5,42.7,32.5,14.8,176,15.1,87.5,37.6,13.6,57.5,9.85,6.95,11.2,12.4,23.4,17.5,17.5,17.5
22.8,13.7,16.4,28,30.7,11.4,26.8,27.5,23.3,35.2,40,13.5,116,15.9,78,35,12.6,62,9.1,6.75,9.6,11.6,21.1,16.2,16.2,16.2
